symbol,company_name,sector,market_cap,market_cap_class,current_price,beta,volatility_30d,volatility_90d,open,high,low,close,volume,return_1m,return_3m,return_6m,return_1y,return_3y,dividend_yield,risk_bucket,last_updated,ticker,ticker_yf
M&M.NS,Mahindra & Mahindra Limited,Automobile,4335527526400,Large Cap,3612.8,0.393,17.97,24.55,3647.9,3647.9,3594.0,3612.8,1209351,-2.95,-0.81,17.68,18.06,176.35,70.0,Low,2025-12-17 18:16:06,M&M,M&M.NS
ETERNAL.NS,Eternal Limited,Infrastructure,2588172615680,Large Cap,284.45,0.315,28.89,25.53,286.25,290.5,283.55,284.45,27152866,-7.22,-13.34,14.51,-1.32,334.94,0.0,Medium,2025-12-17 18:16:06,ETERNAL,ETERNAL.NS
ITC.NS,ITC Limited,FMCG,5008999841792,Large Cap,399.8,-0.064,8.09,12.24,401.0,403.1,399.1,399.8,8084817,-0.93,-2.86,-3.89,-12.02,-3.67,391.0,Low,2025-12-17 18:16:07,ITC,ITC.NS
DRREDDY.NS,Dr. Reddy's Laboratories Limited,Pharma,1059012739072,Large Cap,1272.0,0.345,12.14,18.43,1270.0,1281.0,1267.3,1272.0,894060,1.74,-3.83,-3.47,0.8,40.74,63.0,Low,2025-12-17 18:16:08,DRREDDY,DRREDDY.NS
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Banking,4321957904384,Large Cap,2173.2,0.189,11.81,16.29,2188.0,2193.2,2163.5,2173.2,1612143,3.2,5.77,1.37,20.57,12.44,11.0,Low,2025-12-17 18:16:09,KOTAKBANK,KOTAKBANK.NS
TITAN.NS,Titan Company Limited,Consumer Durables,3466483990528,Large Cap,3907.9,0.188,13.95,16.65,3930.0,3935.7,3890.0,3907.9,601005,-0.64,11.29,11.82,14.0,37.87,28.0,Low,2025-12-17 18:16:09,TITAN,TITAN.NS
JSWSTEEL.NS,JSW Steel Limited,Metals,2636241436672,Large Cap,1079.3,0.605,24.46,21.12,1088.3,1093.7,1075.6,1079.3,1781021,-7.35,-3.73,8.65,9.28,55.01,26.0,Low,2025-12-17 18:16:11,JSWSTEEL,JSWSTEEL.NS
BEL.NS,Bharat Electronics Limited,Defence,2818650931200,Large Cap,385.6,0.247,24.1,23.16,388.0,388.4,385.0,385.6,6612030,-8.88,-5.93,-3.02,22.91,248.07,62.0,Medium,2025-12-17 18:16:11,BEL,BEL.NS
NESTLEIND.NS,Nestlé India Limited,FMCG,2380696911872,Large Cap,1234.6,0.252,12.69,19.39,1237.0,1241.4,1224.3,1234.6,526207,-3.47,2.11,6.93,11.47,14.67,161.0,Low,2025-12-17 18:16:12,NESTLEIND,NESTLEIND.NS
ADANIENT.NS,Adani Enterprises Limited,Others,2885913411584,Large Cap,2232.5,0.579,31.04,27.58,2247.6,2255.0,2221.0,2232.5,651378,-8.24,-7.06,-7.77,-11.1,-8.57,6.0,High,2025-12-17 18:16:13,ADANIENT,ADANIENT.NS
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,3227138129920,Large Cap,2021.2,0.261,27.01,21.11,2035.2,2044.0,2011.6,2021.2,398322,-1.41,-2.32,2.77,20.82,38.93,5.0,Medium,2025-12-17 18:16:13,BAJAJFINSV,BAJAJFINSV.NS
JIOFIN.NS,Jio Financial Services Limited,Financial Services,1862423412736,Large Cap,293.15,0.958,19.44,17.37,295.0,296.0,291.7,293.15,5904357,-3.71,-7.19,1.89,-13.58,30.99,17.0,Medium,2025-12-17 18:16:14,JIOFIN,JIOFIN.NS
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Infrastructure,3210843258880,Large Cap,1486.3,0.352,15.58,17.44,1494.1,1500.0,1479.3,1486.3,964313,0.14,5.2,11.08,20.14,105.0,47.0,Medium,2025-12-17 18:16:15,ADANIPORTS,ADANIPORTS.NS
HDFCBANK.NS,HDFC Bank Limited,Banking,15136351846400,Large Cap,984.0,0.447,11.39,11.37,996.0,996.0,980.8,984.0,19078037,-1.07,0.73,3.06,6.94,25.85,111.0,Low,2025-12-17 18:16:15,HDFCBANK,HDFCBANK.NS
ICICIBANK.NS,ICICI Bank Limited,Banking,9669893423104,Large Cap,1352.4,0.271,13.92,13.43,1365.0,1365.0,1343.1,1352.4,9439618,-2.22,-4.87,-3.43,1.24,47.73,81.0,Low,2025-12-17 18:16:16,ICICIBANK,ICICIBANK.NS
SBILIFE.NS,SBI Life Insurance Company Limited,Financial Services,2015888408576,Large Cap,2010.2,0.356,12.53,14.7,2039.4,2048.7,1995.5,2010.2,895920,0.27,10.34,12.34,41.67,67.79,13.0,Low,2025-12-17 18:16:17,SBILIFE,SBILIFE.NS
HDFCLIFE.NS,HDFC Life Insurance Company Limited,Financial Services,1625917882368,Large Cap,753.5,0.56,18.25,17.51,764.35,764.35,749.0,753.5,1809410,-1.0,-3.96,-0.82,19.0,31.97,27.0,Low,2025-12-17 18:16:17,HDFCLIFE,HDFCLIFE.NS
BAJAJ-AUTO.NS,Bajaj Auto Limited,Automobile,2483682279424,Large Cap,8895.0,0.724,12.94,18.3,9008.0,9009.0,8859.0,8895.0,256342,0.12,-1.98,7.35,1.36,102.95,233.0,Low,2025-12-17 18:16:18,BAJAJ-AUTO,BAJAJ-AUTO.NS
TRENT.NS,Trent Limited,Retail,1438356078592,Large Cap,4045.2,0.098,25.97,23.38,4100.1,4119.9,4036.0,4045.2,460314,-7.2,-21.36,-29.32,-42.16,153.65,12.0,Medium,2025-12-17 18:16:19,TRENT,TRENT.NS
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Pharma,995205513216,Mid Cap,6921.5,0.157,12.28,19.67,7109.0,7109.0,6911.5,6921.5,358005,-7.21,-11.83,-1.13,-4.39,40.32,28.0,Low,2025-12-17 18:16:19,APOLLOHOSP,APOLLOHOSP.NS
MAXHEALTH.NS,Max Healthcare Institute Limited,Pharma,1003207131136,Large Cap,1031.1,0.13,26.3,26.3,1070.1,1073.6,1024.9,1031.1,4267988,-11.45,-12.13,-11.24,-12.87,95.06,14.0,Low,2025-12-17 18:16:22,MAXHEALTH,MAXHEALTH.NS
^NSMIDCP,NIFTY NEXT 50,Others,0,Unknown,0.0,1.0,11.21,11.02,68419.7,68646.15,67915.85,68076.85,0,-2.24,-1.55,1.93,-7.12,63.31,0.0,Low,2025-12-17 18:16:23,NIFTY NEXT 50,^NSMIDCP
CANBK.NS,Canara Bank,Banking,1362502615040,Large Cap,150.21,0.563,24.1,23.63,147.0,150.78,146.91,150.21,26307948,-0.11,30.15,43.21,44.95,164.77,272.0,Low,2025-12-17 18:16:23,CANBK,CANBK.NS
HINDZINC.NS,Hindustan Zinc Limited,Metals,2443501895680,Large Cap,578.3,0.538,33.94,30.3,580.0,587.8,573.65,578.3,18629974,21.35,27.14,32.2,18.37,111.47,511.0,Medium,2025-12-17 18:16:24,HINDZINC,HINDZINC.NS
PNB.NS,Punjab National Bank,Banking,1372303785984,Large Cap,119.33,0.463,25.79,23.43,117.03,119.6,116.92,119.33,15208217,-4.58,6.68,19.23,13.5,140.62,248.0,Medium,2025-12-17 18:16:25,PNB,PNB.NS
BANKBARODA.NS,Bank of Baroda Limited,Banking,1487628926976,Large Cap,287.6,0.411,20.62,20.92,282.2,288.4,282.1,287.6,13792557,-1.94,15.53,24.15,14.83,68.64,295.0,Medium,2025-12-17 18:16:26,BANKBARODA,BANKBARODA.NS
TVSMOTOR.NS,TVS Motor Company Limited,Automobile,1728183009280,Large Cap,3638.9,-0.058,18.64,20.62,3617.8,3659.2,3611.0,3638.9,423036,4.64,2.6,30.9,44.55,180.99,28.0,Low,2025-12-17 18:16:27,TVSMOTOR,TVSMOTOR.NS
ZYDUSLIFE.NS,Zydus Lifesciences Limited,Financial Services,923823374336,Mid Cap,918.1,0.429,14.67,18.91,915.55,920.45,914.1,918.1,531464,-1.3,-12.38,-2.26,-5.99,81.39,120.0,Low,2025-12-17 18:16:28,ZYDUSLIFE,ZYDUSLIFE.NS
LTIM.NS,LTIMindtree Limited,IT,1852922920960,Large Cap,6252.5,0.382,21.04,20.53,6217.0,6292.5,6212.0,6252.5,405919,4.7,13.62,16.94,-6.0,29.9,108.0,Medium,2025-12-17 18:16:28,LTIM,LTIM.NS
GAIL.NS,GAIL (India) Limited,Others,1111648763904,Large Cap,169.07,0.544,19.85,19.59,169.1,170.5,168.0,169.07,3369087,-8.14,-6.57,-5.75,-13.42,73.98,446.0,Medium,2025-12-17 18:16:29,GAIL,GAIL.NS
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,Others,1234299256832,Large Cap,11072.0,-0.14,41.38,31.75,11075.0,11140.0,10987.0,11072.0,26971,-5.63,-17.38,-17.2,1.14,63.63,117.0,Low,2025-12-17 18:16:30,BAJAJHLDNG,BAJAJHLDNG.NS
IOC.NS,Indian Oil Corporation Limited,Energy,2374627491840,Large Cap,168.16,0.807,16.01,19.03,168.64,169.4,167.25,168.16,17401365,-0.69,14.28,23.89,20.0,116.06,477.0,Low,2025-12-17 18:16:30,IOC,IOC.NS
SHREECEM.NS,Shree Cement Limited,Cement,940696010752,Mid Cap,26045.0,0.145,13.56,16.41,25990.0,26185.0,25900.0,26045.0,64316,-1.75,-12.01,-10.7,-4.98,4.56,62.0,Low,2025-12-17 18:16:31,SHREECEM,SHREECEM.NS
HYUNDAI.NS,,Automobile,1857793949696,Large Cap,2286.4,1.0,22.88,31.84,2270.7,2312.0,2262.6,2286.4,463171,-5.56,-15.97,20.99,27.02,23.31,93.0,Low,2025-12-17 18:16:32,HYUNDAI,HYUNDAI.NS
BRITANNIA.NS,Britannia Industries Limited,FMCG,1468737519616,Large Cap,6096.0,0.532,18.73,19.81,6060.0,6116.0,6051.0,6096.0,298252,3.77,-0.07,11.12,27.43,34.42,124.0,Low,2025-12-17 18:16:32,BRITANNIA,BRITANNIA.NS
TORNTPHARM.NS,Torrent Pharmaceuticals Limited,Pharma,1276210053120,Large Cap,3770.8,0.131,22.02,16.8,3765.1,3784.0,3725.0,3770.8,132340,1.06,5.7,19.4,13.25,117.38,85.0,Low,2025-12-17 18:16:33,TORNTPHARM,TORNTPHARM.NS
BPCL.NS,Bharat Petroleum Corporation Limited,Energy,1598088675328,Large Cap,368.35,0.94,22.31,21.83,370.0,372.85,366.0,368.35,6871775,0.74,15.45,21.77,30.63,136.28,407.0,Low,2025-12-17 18:16:34,BPCL,BPCL.NS
ENRIN.NS,Siemens Energy India Limited,Infrastructure,1058283323392,Large Cap,2971.7,1.0,29.72,26.94,2982.0,3012.4,2934.4,2971.7,356967,-10.35,-14.14,-2.47,-2.47,-2.47,0.13,Low,2025-12-17 18:16:34,ENRIN,ENRIN.NS
PFC.NS,Power Finance Corporation Limited,Others,1107949125632,Large Cap,335.65,0.602,15.53,18.84,336.9,338.75,334.25,335.65,4745864,-9.25,-16.89,-12.36,-30.95,146.67,434.0,Medium,2025-12-17 18:16:35,PFC,PFC.NS
GODREJCP.NS,Godrej Consumer Products Limited,FMCG,1207121608704,Large Cap,1179.7,0.227,17.16,20.21,1180.0,1187.5,1171.8,1179.7,929384,3.49,-4.32,-0.35,7.83,15.34,169.0,Medium,2025-12-17 18:16:36,GODREJCP,GODREJCP.NS
VEDL.NS,Vedanta Limited,Metals,2225242374144,Large Cap,569.8,0.812,23.92,24.44,580.0,580.45,566.1,569.8,30342405,11.33,25.05,36.55,19.02,145.96,904.0,Medium,2025-12-17 18:16:37,VEDL,VEDL.NS
MOTHERSON.NS,Samvardhana Motherson International Limited,Automobile,1261889126400,Large Cap,119.56,0.945,25.02,28.02,119.0,120.8,118.64,119.56,7069133,6.6,9.71,21.67,6.89,127.11,92.0,Medium,2025-12-17 18:16:38,MOTHERSON,MOTHERSON.NS
TATAPOWER.NS,Tata Power Company Limited,Energy,1209907019776,Large Cap,378.55,0.418,17.24,16.3,379.85,383.3,377.3,378.55,2167395,-2.71,-3.7,-0.98,-10.51,79.04,59.0,Medium,2025-12-17 18:16:39,TATAPOWER,TATAPOWER.NS
RECLTD.NS,REC Limited,Others,879836921856,Mid Cap,333.95,0.302,16.37,19.28,337.05,337.3,332.5,333.95,4531254,-7.09,-12.04,-10.23,-37.31,164.67,707.0,Medium,2025-12-17 18:16:40,RECLTD,RECLTD.NS
SIEMENS.NS,Siemens Limited,Others,1118325440512,Large Cap,3140.1,0.354,26.49,23.48,3171.0,3180.0,3130.8,3140.1,282647,-2.22,-5.36,-4.41,-32.64,51.71,38.0,Medium,2025-12-17 18:16:41,SIEMENS,SIEMENS.NS
DIVISLAB.NS,Divi's Laboratories Limited,Pharma,1670593773568,Large Cap,6293.0,0.149,18.03,22.43,6312.0,6374.5,6280.5,6293.0,194824,-2.49,2.96,-2.64,7.94,82.59,47.0,Low,2025-12-17 18:16:42,DIVISLAB,DIVISLAB.NS
ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Others,969318596608,Mid Cap,1947.0,0.527,14.87,22.21,1942.0,1960.4,1933.5,1947.0,589549,-4.64,3.59,1.34,-0.16,61.39,67.0,Low,2025-12-17 18:16:43,ICICIGI,ICICIGI.NS
BOSCHLTD.NS,Bosch Limited,Automobile,1062023921664,Large Cap,35975.0,0.445,16.67,16.41,36380.0,36380.0,35850.0,35975.0,9258,-2.43,-9.55,12.58,-0.02,101.35,141.0,Low,2025-12-17 18:16:44,BOSCHLTD,BOSCHLTD.NS
HAL.NS,Hindustan Aeronautics Limited,Defence,2827847991296,Large Cap,4228.4,0.439,24.7,20.73,4260.5,4270.0,4218.2,4228.4,645426,-10.87,-12.94,-13.46,-8.62,173.53,94.0,Medium,2025-12-17 18:16:44,HAL,HAL.NS
NAUKRI.NS,Info Edge (India) Limited,Others,866390966272,Mid Cap,1338.2,0.57,22.84,24.06,1340.0,1366.0,1335.0,1338.2,336381,-1.59,-3.19,-8.54,-23.72,58.66,36.0,Medium,2025-12-17 18:16:45,NAUKRI,NAUKRI.NS
CGPOWER.NS,CG Power and Industrial Solutions Limited,Infrastructure,1056259768320,Large Cap,670.4,0.171,20.61,22.85,678.0,691.2,666.6,670.4,3601211,-7.42,-14.55,0.55,-12.87,76.89,19.0,Medium,2025-12-17 18:16:46,CGPOWER,CGPOWER.NS
BAJAJHFL.NS,,Financial Services,787803078656,Mid Cap,94.59,1.0,22.76,19.42,95.3,95.74,94.42,94.59,3776712,-10.81,-17.6,-19.74,-27.52,-29.47,0.0,Medium,2025-12-17 18:16:46,BAJAJHFL,BAJAJHFL.NS
DMART.NS,Avenue Supermarts Limited,Retail,2489834799104,Large Cap,3826.2,0.367,16.75,19.59,3857.5,3869.8,3808.7,3826.2,401115,-4.97,-19.62,-8.97,5.59,8.34,0.0,Low,2025-12-17 18:16:47,DMART,DMART.NS
IRFC.NS,Indian Railway Finance Corporation Limited,Infrastructure,1451649662976,Large Cap,111.08,0.299,16.39,17.38,112.0,112.5,110.72,111.08,4981900,-8.08,-13.36,-15.36,-29.08,262.53,237.0,Medium,2025-12-17 18:16:48,IRFC,IRFC.NS
ADANIGREEN.NS,Adani Green Energy Limited,Energy,1681867276288,Large Cap,1020.7,0.806,24.54,37.26,1028.0,1033.6,1017.0,1020.7,1263602,-4.6,4.27,9.28,-12.62,3.78,0.0,High,2025-12-17 18:16:49,ADANIGREEN,ADANIGREEN.NS
JSWENERGY.NS,JSW Energy Limited,Energy,830025433088,Mid Cap,475.25,-0.324,27.67,23.98,477.8,482.55,473.0,475.25,1837493,-7.48,-11.63,-1.1,-30.75,90.79,42.0,Medium,2025-12-17 18:16:49,JSWENERGY,JSWENERGY.NS
SOLARINDS.NS,Solar Industries India Limited,Defence,1069140017152,Large Cap,11815.0,-0.216,24.55,24.98,11930.0,11980.0,11759.0,11815.0,62321,-14.44,-19.17,-29.97,12.25,213.36,8.0,Medium,2025-12-17 18:16:50,SOLARINDS,SOLARINDS.NS
LICI.NS,Life Insurance Corporation of India,Financial Services,5341776445440,Large Cap,844.55,0.522,16.93,17.33,859.0,859.05,843.1,844.55,704717,-7.6,-5.04,-7.78,-7.38,45.41,140.0,Low,2025-12-17 18:16:51,LICI,LICI.NS
HAVELLS.NS,Havells India Limited,Consumer Durables,876333236224,Mid Cap,1397.0,0.316,16.99,18.23,1410.3,1411.2,1390.3,1397.0,348918,-3.01,-12.38,-7.99,-20.51,6.18,71.0,Low,2025-12-17 18:16:52,HAVELLS,HAVELLS.NS
JINDALSTEL.NS,Jindal Steel Limited,Metals,1019014348800,Large Cap,1001.5,0.638,20.82,23.79,1008.0,1012.4,998.0,1001.5,647160,-6.49,-4.41,13.08,2.81,92.01,20.0,Medium,2025-12-17 18:16:52,JINDALSTEL,JINDALSTEL.NS
AMBUJACEM.NS,Ambuja Cements Limited,Cement,1338232799232,Large Cap,541.3,-0.15,14.26,16.45,547.0,549.9,539.5,541.3,518137,-2.52,-6.83,1.6,-5.84,25.12,36.0,Medium,2025-12-17 18:16:53,AMBUJACEM,AMBUJACEM.NS
LODHA.NS,Lodha Developers Limited,Infrastructure,1062754058240,Large Cap,1063.8,0.189,17.92,21.33,1121.0,1129.3,1058.4,1063.8,980494,-11.5,-11.7,-25.12,-27.27,92.04,40.0,Medium,2025-12-17 18:16:55,LODHA,LODHA.NS
DLF.NS,DLF Limited,Infrastructure,1691359772672,Large Cap,683.1,0.326,19.95,20.31,690.0,691.9,680.05,683.1,1751686,-8.14,-12.77,-18.07,-22.97,42.55,87.0,Medium,2025-12-17 18:16:56,DLF,DLF.NS
ABB.NS,ABB India Limited,Infrastructure,1096127086592,Large Cap,5171.0,0.537,21.07,16.96,5238.0,5262.5,5152.0,5171.0,85857,1.73,-4.87,-11.72,-33.94,30.42,83.0,Medium,2025-12-17 18:16:57,ABB,ABB.NS
VBL.NS,Varun Beverages Limited,FMCG,1592409456640,Large Cap,470.85,-0.12,20.9,27.5,475.0,478.7,466.8,470.85,3497840,3.59,-0.57,5.05,-26.84,39.72,42.0,Medium,2025-12-17 18:16:58,VBL,VBL.NS
PIDILITIND.NS,Pidilite Industries Limited,Chemicals,1476397760512,Large Cap,1450.7,0.326,12.98,14.56,1473.0,1473.0,1445.4,1450.7,259710,-1.76,-5.0,-1.55,-8.53,12.01,68.0,Low,2025-12-17 18:16:58,PIDILITIND,PIDILITIND.NS
ADANIPOWER.NS,Adani Power Limited,Energy,2757711364096,Large Cap,143.0,0.36,23.22,52.49,145.4,145.45,142.05,143.0,9793791,-5.68,13.25,33.27,34.93,179.68,0.0,High,2025-12-17 18:16:59,ADANIPOWER,ADANIPOWER.NS
INDHOTEL.NS,The Indian Hotels Company Limited,Hospitality,1015332798464,Large Cap,713.2,-0.363,25.49,21.21,721.55,728.95,710.3,713.2,2576316,-0.88,-8.8,-4.28,-17.56,81.81,31.0,Low,2025-12-17 18:17:00,INDHOTEL,INDHOTEL.NS
ADANIENSOL.NS,Adani Energy Solutions Limited,Energy,1174313893888,Large Cap,977.55,0.741,22.72,28.64,990.0,995.0,971.1,977.55,742516,-2.85,18.28,15.49,17.44,30.31,0.0,Medium,2025-12-17 18:17:00,ADANIENSOL,ADANIENSOL.NS
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,Defence,951138910208,Mid Cap,2356.6,0.647,25.7,26.63,2408.0,2415.9,2350.0,2356.6,649979,-15.33,-20.8,-26.67,-5.91,475.74,49.0,Medium,2025-12-17 18:17:01,MAZDOCK,MAZDOCK.NS
